zip檔名	拍數	累積拍數	經名	山圖號
0001-001天01	31	31	大般若波羅蜜多經六百卷（001）	11725711
0001-002天02	37	68	大般若波羅蜜多經六百卷（002）	11725811
0001-003天03	34	102	大般若波羅蜜多經六百卷（003）	11725911
0001-004天04	35	137	大般若波羅蜜多經六百卷（004）	11726011
0001-005天05	33	170	大般若波羅蜜多經六百卷（005）	11726111
0001-006天06	21	191	大般若波羅蜜多經六百卷（006）	11726211
0001-007天07	21	212	大般若波羅蜜多經六百卷（007）	11726311
0001-008天08	34	246	大般若波羅蜜多經六百卷（008）	11726411
0001-009天09		246	大般若波羅蜜多經六百卷（009）	11726511
0001-010天10	34	280	大般若波羅蜜多經六百卷（010）	11726611
0001-011地01	37	317	大般若波羅蜜多經六百卷（011）	11726711
0001-012地02	34	351	大般若波羅蜜多經六百卷（012）	11726811
0001-013地03	34	385	大般若波羅蜜多經六百卷（013）	11726911
0001-014地04	34	419	大般若波羅蜜多經六百卷（014）	11727011
0001-015地05	34	453	大般若波羅蜜多經六百卷（015）	11727111
0001-016地06	34	487	大般若波羅蜜多經六百卷（016）	11727211
0001-017地07	33	520	大般若波羅蜜多經六百卷（017）	11727311
0001-018地08	37	557	大般若波羅蜜多經六百卷（018）	11727411
0001-019地09	34	591	大般若波羅蜜多經六百卷（019）	11727511
0001-020地10	39	630	大般若波羅蜜多經六百卷（020）	11727611
0001-021玄01	38	668	大般若波羅蜜多經六百卷（021）	11727711
0001-022玄02	38	706	大般若波羅蜜多經六百卷（022）	11727811
0001-023玄03	31	737	大般若波羅蜜多經六百卷（023）	11727911
0001-024玄04	33	770	大般若波羅蜜多經六百卷（024）	11728011
0001-025玄05	33	803	大般若波羅蜜多經六百卷（025）	11728111
0001-026玄06	33	836	大般若波羅蜜多經六百卷（026）	11728211
0001-027玄07		836	大般若波羅蜜多經六百卷（027）	11728311
0001-028玄08	35	871	大般若波羅蜜多經六百卷（028）	11728411
0001-029玄09	34	905	大般若波羅蜜多經六百卷（029）	11728511
0001-030玄10	34	939	大般若波羅蜜多經六百卷（030）	11728611
0001-031黃01		939	大般若波羅蜜多經六百卷（031）	11728711
0001-032黃02	36	975	大般若波羅蜜多經六百卷（032）	11728811
0001-033黃03	33	1008	大般若波羅蜜多經六百卷（033）	11728911
0001-034黃04	34	1042	大般若波羅蜜多經六百卷（034）	11729011
0001-035黃05	34	1076	大般若波羅蜜多經六百卷（035）	11729111
0001-036黃06	36	1112	大般若波羅蜜多經六百卷（036）	11729211
0001-037黃07	38	1150	大般若波羅蜜多經六百卷（037）	11729311
0001-038黃08	39	1189	大般若波羅蜜多經六百卷（038）	11729411
0001-039黃09	36	1225	大般若波羅蜜多經六百卷（039）	11729511
0001-040黃10	33	1258	大般若波羅蜜多經六百卷（040）	11729611
0001-041宇01	42	1300	大般若波羅蜜多經六百卷（041）	11729711
